tag,avg_raw,raw_2024,trend_2024,oracle_2024,meanp_2024,sdp_2024,raw_2023,trend_2023,oracle_2023,meanp_2023,sdp_2023,stage,k,target,how,i,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,max_bin
G74,475.82587691264996,430.23700956376086,538.3897167569929,550.934261637448,0.5034703612327576,0.022488370537757874,521.4147442615391,474.84563495783226,541.2094469362638,0.5069735050201416,0.02203652821481228,G,,,,74.0,350.0,0.003,4.0,1500.0,0.7,0.55,5.0,1.0,128.0
G75,692.096141771098,717.795200268323,728.0730180662331,740.7189691582716,0.4936809539794922,0.03585249185562134,666.397083273873,601.9286990131656,667.6666622168703,0.49816957116127014,0.0339299775660038,G,,,,75.0,200.0,0.02,6.0,6000.0,0.9,0.25,100.0,30.0,128.0
G76,749.6314814959826,784.6039984903852,813.2840611557168,826.0314184593387,0.49627426266670227,0.04326651990413666,714.6589645015799,659.3100909582316,724.7798332584821,0.4949299693107605,0.0408160462975502,G,,,,76.0,500.0,0.02,5.0,1500.0,0.7,0.4,5.0,5.0,64.0
G77,724.5901643160303,765.5277005694794,797.3811811503584,810.170293952872,0.49665600061416626,0.04391942545771599,683.652628062581,632.8933122005109,698.3332521781626,0.49390047788619995,0.04140987619757652,G,,,,77.0,500.0,0.03,4.0,300.0,0.9,0.25,30.0,1.0,128.0
G78,390.50159985550835,337.03277097271166,476.5021023325433,489.0645424267981,0.5055896639823914,0.020114336162805557,443.97042873830503,413.28595738345797,479.72725540065267,0.5093870162963867,0.01963227055966854,G,,,,78.0,200.0,0.005,3.0,1500.0,0.7,0.4,30.0,5.0,128.0
G79,645.6234663620496,720.5570282662554,760.1173809277495,773.133166438511,0.4975348114967346,0.04872758686542511,570.6899044578439,517.0278423739849,582.4737428161475,0.4944976270198822,0.04657962545752525,G,,,,79.0,1000.0,0.03,6.0,800.0,1.0,0.55,100.0,5.0,64.0
G80,720.6335270672548,737.5336211001837,755.0053148495106,767.6095104426462,0.4947843849658966,0.03618806228041649,703.7334330343259,639.6047952513251,705.2891142743433,0.4979928433895111,0.034341346472501755,G,,,,80.0,1000.0,0.003,7.0,3000.0,0.7,0.55,400.0,5.0,64.0
G81,746.8275831051529,793.6172211790993,803.1911605671737,815.9444829420659,0.4935714900493622,0.042442381381988525,700.0379450312066,646.6202619927142,712.0303996477562,0.4944859445095062,0.04040020331740379,G,,,,81.0,500.0,0.03,4.0,6000.0,0.9,0.25,100.0,5.0,256.0
G82,752.7183844794782,775.2865571669209,797.3931112928989,810.0390623849374,0.4954322576522827,0.039809562265872955,730.1502117920355,670.813787484037,736.3550553585508,0.496025949716568,0.038212958723306656,G,,,,82.0,200.0,0.02,5.0,800.0,0.9,0.7,5.0,0.0,256.0
G83,710.8490207970108,721.0521291816541,741.1305590758866,753.800370453006,0.4951561689376831,0.03805997595191002,700.6459124123676,639.6405580384456,705.2891142743433,0.4965597987174988,0.03648889437317848,G,,,,83.0,500.0,0.012,3.0,800.0,0.9,0.4,400.0,1.0,128.0
G84,757.3381229050324,791.7024333014888,813.3437118684195,826.0075581742576,0.49537160992622375,0.04043665528297424,722.9738125085761,664.0426997880145,729.7091374174669,0.49585169553756714,0.03839339315891266,G,,,,84.0,200.0,0.02,6.0,300.0,0.9,0.55,30.0,5.0,256.0
G85,737.4209720614256,775.5967408729525,795.53797412798,808.2256807189103,0.49513280391693115,0.03992345556616783,699.2452032498986,640.2544858841286,705.7123072553462,0.4959360659122467,0.03817540034651756,G,,,,85.0,350.0,0.03,6.0,300.0,0.5,0.25,1500.0,5.0,64.0
G86,762.3052721015488,797.0948577294079,822.9773019691855,835.7246592728073,0.4959239363670349,0.04336269572377205,727.5156864736898,672.9774361052155,738.1849179665334,0.49480003118515015,0.041310664266347885,G,,,,86.0,350.0,0.02,7.0,3000.0,1.0,0.7,30.0,5.0,64.0
G87,652.0978239562603,639.0085389364475,669.1977646330449,681.8019602261804,0.49644935131073,0.03304600715637207,665.187108976073,599.5206713466206,665.3778438407531,0.49924221634864807,0.03174076974391937,G,,,,87.0,350.0,0.008,3.0,6000.0,0.9,0.7,30.0,0.0,64.0
G88,751.018030849554,778.8059492161215,812.2938593249307,825.0173563434715,0.4968492388725281,0.044648174196481705,723.2301124829866,673.418510479773,738.834608599348,0.49371278285980225,0.04156126827001572,G,,,,88.0,1000.0,0.012,4.0,800.0,0.9,0.7,5.0,0.0,64.0
G89,240.25285634271532,174.0908841661004,371.4452671283452,383.983846937519,0.508996307849884,0.014459602534770966,306.41482851933023,309.7169258640453,376.259551778102,0.5131396055221558,0.014159864746034145,G,,,,89.0,200.0,0.003,4.0,1500.0,1.0,0.55,1500.0,0.0,64.0
G90,717.2836249299374,760.3738789923486,799.8626507986106,812.6875540287348,0.49752160906791687,0.04694821685552597,674.1933708675263,625.6334664137553,690.7873040943979,0.4935135841369629,0.04502326622605324,G,,,,90.0,1400.0,0.02,6.0,3000.0,0.7,0.7,5.0,5.0,256.0
G91,701.0223931254943,711.2574821565909,736.6507905522512,749.2490210741277,0.4958609640598297,0.034574855118989944,690.7873040943979,625.371205974834,691.1866552173129,0.4989602565765381,0.03306175023317337,G,,,,91.0,350.0,0.008,6.0,1500.0,0.9,0.4,400.0,0.0,256.0
G92,697.5419616152833,727.9358214270281,735.8634011446319,748.4735618090488,0.49327781796455383,0.03662183880805969,667.1481018035386,604.7360778026256,670.3369503223478,0.49713408946990967,0.03516478091478348,G,,,,92.0,200.0,0.03,5.0,3000.0,0.5,0.25,1500.0,30.0,128.0
G93,742.9257022327329,760.7854689099636,779.2413994188174,791.8813854395745,0.49492672085762024,0.038804564625024796,725.0659355555023,665.0321368985246,730.5674443085164,0.49626195430755615,0.037259094417095184,G,,,,93.0,1400.0,0.003,5.0,3000.0,0.9,0.7,5.0,30.0,128.0
G94,702.5345239053238,745.1152266841343,787.6521499092681,800.4472277830521,0.4978511929512024,0.04546065628528595,659.9538211265133,608.8607192512585,674.3543034095967,0.4939420223236084,0.04297700896859169,G,,,,94.0,700.0,0.03,5.0,300.0,0.9,0.25,100.0,1.0,256.0
G95,716.9034829110299,732.9405162224134,758.9243666737855,771.5285622669321,0.4959363043308258,0.03567437827587128,700.8664495996464,635.9391095708156,701.814163458514,0.49843093752861023,0.034011565148830414,G,,,,95.0,500.0,0.005,7.0,300.0,0.7,0.4,5.0,0.0,64.0
G96,723.0868498507737,731.347842193375,755.4526951947471,768.1463668569367,0.4956924021244049,0.039203934371471405,714.8258575081722,654.9351099997102,720.5479034484651,0.49618130922317505,0.037535835057497025,G,,,,96.0,1400.0,0.005,3.0,1500.0,1.0,0.4,30.0,5.0,64.0
G97,733.2280682517066,768.6116424159839,797.7211902127412,810.444687231282,0.496325820684433,0.04179304838180542,697.8444940874296,642.424094969829,707.8580744829477,0.4949546754360199,0.03992395102977753,G,,,,97.0,500.0,0.03,4.0,300.0,1.0,0.25,1500.0,30.0,128.0
G98,747.7927499299542,792.5077179229079,819.4877352763364,832.2470227224987,0.49606063961982727,0.04462620988488197,703.0777819370004,650.1726988473177,715.2967342053396,0.49444305896759033,0.043031297624111176,G,,,,98.0,1400.0,0.012,7.0,3000.0,0.7,0.4,400.0,5.0,64.0
G99,736.3613032047689,763.5115064802856,790.5988951165676,803.3641476340003,0.4960753321647644,0.04287638142704964,709.2110999292522,655.1914099741207,720.5181011258666,0.49464669823646545,0.04113706573843956,G,,,,99.0,1400.0,0.012,4.0,3000.0,0.7,0.25,400.0,5.0,128.0
G100,738.515184886046,776.8076503407273,787.3479312745069,800.0654632217775,0.49372807145118713,0.04151082783937454,700.2227194313648,642.6327112280638,707.9713233088536,0.4955645799636841,0.039888959378004074,G,,,,100.0,700.0,0.02,4.0,6000.0,1.0,0.25,1500.0,1.0,64.0
G101,641.1484568727644,623.5888297039361,664.9923893878084,677.5488644108041,0.4977239966392517,0.0314633846282959,658.7080840415927,592.9522394443221,658.8928584417508,0.5006340146064758,0.0306414645165205,G,,,,101.0,700.0,0.003,4.0,300.0,1.0,0.7,400.0,1.0,256.0
G102,736.8475430390708,741.554079136042,770.3951987256596,783.1664163143626,0.4962939918041229,0.04188673570752144,732.1410069420997,678.6160355422122,743.9963708746556,0.4945199489593506,0.03991014510393143,G,,,,102.0,500.0,0.02,3.0,1500.0,0.5,0.7,5.0,1.0,64.0
G103,589.6543088896367,572.8916889816804,626.6071557664787,639.1934561458146,0.4989788830280304,0.02851693704724312,606.4169287975928,542.0856352208681,608.2229495474988,0.5020658373832703,0.027610020712018013,G,,,,103.0,350.0,0.005,4.0,6000.0,0.7,0.55,5.0,30.0,256.0
