shard,ci,avg,raw_2024,trend_2024,oracle_2024,sdp_2024,raw_2022,trend_2022,oracle_2022,sdp_2022,arch,k,h,L,emb,drop,plr,film,lr,wd,bs,d,heads
0,34,350.72163189096005,607.1446294206972,670.2450065339204,671.9027181987691,0.049767620861530304,94.29863436122288,72.57751823959157,94.61455619285131,0.05954575911164284,Hier,,64.0,,,0.1,,,0.003,0.0001,16384,,
0,35,332.53183298636577,524.0086005308231,594.3182344886777,595.9938351283389,0.050809115171432495,141.05506544190848,176.77211478349665,198.4276622230885,0.05777957662940025,TabM,64.0,256.0,3.0,0.0,0.1,False,True,0.002,0.0001,16384,,
0,36,402.1260071482013,470.0614155238925,549.1008691844268,550.6691359752791,0.05629764497280121,334.1905987725102,328.28345660003146,350.7377498025987,0.04902372509241104,TabM,32.0,128.0,2.0,0.0,0.1,True,True,0.002,0.01,16384,,
0,37,348.9191211949072,545.9881875691352,609.786234699583,611.4320203812307,0.053750213235616684,151.85005482067913,169.10057898532617,192.02577454070502,0.05245644971728325,TabM,8.0,128.0,2.0,0.0,0.1,True,True,0.002,0.0001,16384,,
0,38,327.2304838841056,654.4609677682112,722.0872555059876,723.7449671708363,0.05030880868434906,0.0,111.69817825776862,134.05709883191895,0.05793904885649681,Hier,,128.0,,,0.1,,,0.001,0.0001,16384,,
0,39,429.6548679212864,561.2415200824228,598.6473663904258,600.4124119040721,0.05343648046255112,298.06821576015,297.44829367545077,319.62839057132487,0.04886413365602493,TabM,8.0,128.0,2.0,0.0,0.1,False,True,0.002,0.01,16384,,
0,40,424.32212375048687,556.8110173234775,581.2413939094596,583.0243283979187,0.0545593798160553,291.8332301774962,292.0716617485275,314.45442547978206,0.05359766632318497,TabM,32.0,128.0,2.0,0.0,0.1,False,True,0.002,0.001,16384,,
0,41,306.136401098428,612.272802196856,727.0782794753461,728.8492879806041,0.050141166895627975,0.0,25.04022376376147,48.04290957971524,0.054238684475421906,TabM,32.0,256.0,2.0,0.0,0.1,True,True,0.002,0.01,16384,,
0,42,307.31409193946456,614.6281838789291,691.1035511513841,692.8387817070392,0.051166657358407974,0.0,0.0,0.0,0.06104888767004013,TabM,64.0,256.0,2.0,0.0,0.1,True,True,0.002,0.0001,16384,,
0,43,382.06786940472307,614.8726665345383,721.3776595055621,723.0115192040088,0.04095659404993057,149.26307227490776,174.87062300446388,196.89573937916595,0.056776147335767746,TabM,8.0,512.0,3.0,0.0,0.1,False,True,0.002,0.01,16384,,
0,44,398.37274710792235,561.790115309635,653.8646686081951,655.7728259202534,0.05743563920259476,234.95537890620977,212.17324229346747,236.80918437104515,0.05876557528972626,TabM,32.0,256.0,3.0,0.0,0.1,True,True,0.002,0.0001,16384,,
0,45,391.31681228923856,651.36617512771,780.8942786670658,782.5341013571241,0.04096800833940506,131.26744945076706,137.86604317926887,161.2919450338146,0.055858589708805084,TabM,8.0,512.0,3.0,0.0,0.1,True,True,0.002,0.01,16384,,
0,46,377.46709403391753,474.7841048712398,532.0586391910798,533.8236847047373,0.05238448083400726,280.1500831965953,261.451087237885,283.5179291375223,0.051660966128110886,TabM,64.0,128.0,2.0,0.0,0.1,False,True,0.002,0.001,16384,,
0,47,343.72194501331444,549.4109447476415,649.8515752612622,651.4198420521144,0.04856186360120773,138.03294527898746,279.6672592652483,300.93535540189896,0.053282350301742554,TabM,64.0,512.0,2.0,0.0,0.1,False,True,0.002,0.001,16384,,
0,48,483.10889413924474,597.0313956667694,660.2987365447955,662.0697450500535,0.043270960450172424,369.18639261172007,415.33482318625306,438.28386189872504,0.04732086509466171,FTT,,,2.0,,0.1,,,0.001,0.0001,8192,64.0,4.0
0,49,491.95461428075953,644.9559591575115,725.4801977264913,727.1438723829405,0.04158659651875496,338.9532694040076,344.3775876451394,367.1418418900618,0.04981885105371475,TabM,8.0,512.0,3.0,0.0,0.1,False,True,0.002,0.001,16384,,
0,50,116.36717491813609,232.73434983627217,481.8621759006714,483.26347892672095,0.057309187948703766,0.0,0.0,0.0,0.061747241765260696,TabM,8.0,256.0,2.0,0.0,0.1,False,True,0.002,0.001,16384,,
