raw,trend,oracle,meanp,stage,name,val,nfeat,i,avg_raw,raw_2024,trend_2024,oracle_2024,meanp_2024,raw_2023,trend_2023,oracle_2023,meanp_2023,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda
488.99296157155493,553.755740348072,566.896792355498,0.4999951422214508,featset,base48,2024.0,46.0,,,,,,,,,,,,,,,,,
266.2532185758515,203.91272014920193,269.108281081476,0.4972397983074188,featset,base48,2023.0,46.0,,,,,,,,,,,,,,,,,
615.7566911266565,652.8534693537091,665.9110103633625,0.49726325273513794,featset,deconv,2024.0,74.0,,,,,,,,,,,,,,,,,
441.270338310229,390.3679712996544,455.77214849017446,0.49389156699180603,featset,deconv,2023.0,74.0,,,,,,,,,,,,,,,,,
606.916455504769,657.0528795276754,670.1760363212906,0.4986339211463928,featset,full,2024.0,90.0,,,,,,,,,,,,,,,,,
414.39460378438486,358.1337791693007,423.5856400759963,0.4951131045818329,featset,full,2023.0,90.0,,,,,,,,,,,,,,,,,
620.6898050668098,669.3051359158985,682.3925022819033,0.49847841262817383,featset,no_clutch,2024.0,85.0,,,,,,,,,,,,,,,,,
397.1867427118414,341.13453435499207,406.6638813004619,0.4950510561466217,featset,no_clutch,2023.0,85.0,,,,,,,,,,,,,,,,,
615.7566911266565,652.8534693537091,665.9110103633625,0.49726325273513794,featset,no_tm,2024.0,74.0,,,,,,,,,,,,,,,,,
441.270338310229,390.3679712996544,455.77214849017446,0.49389156699180603,featset,no_tm,2023.0,74.0,,,,,,,,,,,,,,,,,
,,,,search,,,,24.0,153.0340430055177,306.0680860110354,374.46359319087685,388.0102700446475,0.5003231167793274,0.0,0.0,0.0,0.4954053461551666,1200.0,0.08,6.0,1000.0,0.8,0.4,1.0
,,,,search,,,,25.0,615.4169262361175,669.3647866286012,728.1505639927466,741.0231877930329,0.4994727373123169,561.4690658436339,508.25999906337626,573.6224530022538,0.4944329857826233,500.0,0.08,4.0,400.0,1.0,0.4,1.0
,,,,search,,,,26.0,649.8986807773776,716.8825443640392,756.7172903039432,769.6197394605808,0.4975612759590149,582.9148171907161,531.5117711603646,596.8265413830665,0.494044691324234,2000.0,0.02,4.0,50.0,0.8,0.4,20.0
,,,,search,,,,27.0,470.40349560865667,573.410650182149,615.9356432647534,629.1184507710713,0.4978455901145935,367.39634103516437,315.2124741525375,380.71797923991954,0.4941410720348358,800.0,0.03,7.0,50.0,0.6,0.4,5.0
,,,,search,,,,28.0,500.9367158379297,606.2006469523928,652.0720450173711,665.1892367397161,0.49819672107696533,395.67278472346646,336.5032534220602,401.70477481886735,0.4960564374923706,800.0,0.05,5.0,50.0,0.6,0.6,20.0
,,,,search,,,,29.0,517.5174086363976,610.5014633379424,657.5062249441821,670.6353468090675,0.49830734729766846,424.5333539348528,367.55727357723475,433.14622516791303,0.49527519941329956,800.0,0.03,7.0,150.0,0.6,0.4,1.0
,,,,search,,,,30.0,0.0,0.0,104.62166415770025,118.48448978877269,0.503279447555542,0.0,0.0,0.0,0.4956393241882324,2000.0,0.08,5.0,400.0,0.8,0.6,100.0
,,,,search,,,,31.0,744.756286799303,785.8089428868898,815.5030676680997,828.2623551142509,0.4963979721069336,703.7036307117162,650.3038290667785,715.6782039346998,0.494493693113327,500.0,0.02,5.0,400.0,0.6,0.8,100.0
,,,,search,,,,32.0,165.48314674564858,330.96629349129717,398.180716559704,411.79300919744753,0.5002249479293823,0.0,0.0,0.0,0.4950229823589325,2000.0,0.05,5.0,150.0,1.0,0.4,1.0
,,,,search,,,,33.0,656.4534586463055,743.2660545904856,782.9636038911847,795.8660530478223,0.49754881858825684,569.6408627021254,516.5033214961201,582.0147870480241,0.49438655376434326,800.0,0.02,7.0,400.0,1.0,0.4,20.0
,,,,search,,,,34.0,0.0,0.0,0.0,0.0,0.5035040974617004,0.0,0.0,0.0,0.5014269351959229,2000.0,0.05,7.0,50.0,0.6,0.4,20.0
