raw,trend,oracle,meanp,stage,name,val,nfeat,i,avg_raw,raw_2024,trend_2024,oracle_2024,meanp_2024,raw_2023,trend_2023,oracle_2023,meanp_2023,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,epochs,shrink,nn,w
613.6987415385709,647.8607047008644,660.7213983586213,0.4969162344932556,A,base48,2024.0,46.0,,,,,,,,,,,,,,,,,,,,,,
471.1561074192461,406.3360557517992,471.95480966508717,0.49853014945983887,A,base48,2023.0,46.0,,,,,,,,,,,,,,,,,,,,,,
781.6990087819886,808.8937687011244,821.6590212185571,0.4960932731628418,A,deconv,2024.0,69.0,,,,,,,,,,,,,,,,,,,,,,
714.2178901270113,664.2751579043371,729.7449002045986,0.49372410774230957,A,deconv,2023.0,69.0,,,,,,,,,,,,,,,,,,,,,,
787.3896867733987,821.7067417887191,834.4719943061407,0.4969450533390045,A,deconv+tm,2024.0,85.0,,,,,,,,,,,,,,,,,,,,,,
705.9805281587894,653.9158705665903,719.3319686861544,0.4941845238208771,A,deconv+tm,2023.0,85.0,,,,,,,,,,,,,,,,,,,,,,
776.2171082850156,803.3462524201896,816.0995747950817,0.4960831105709076,A,deconv+cl,2024.0,74.0,,,,,,,,,,,,,,,,,,,,,,
712.5072368094454,662.695634806243,728.1415352484055,0.4937068819999695,A,deconv+cl,2023.0,74.0,,,,,,,,,,,,,,,,,,,,,,
785.8089428868898,815.5030676680997,828.2623551142509,0.4963979721069336,A,full,2024.0,90.0,,,,,,,,,,,,,,,,,,,,,,
703.7036307117162,650.3038290667785,715.6782039346998,0.494493693113327,A,full,2023.0,90.0,,,,,,,,,,,,,,,,,,,,,,
,,,,B,,,,24.0,682.7370133816958,683.8181543153854,708.4658288023182,721.0461641103838,0.495761513710022,681.655872448006,616.8954254257563,682.6274281649503,0.49837905168533325,400.0,0.008,4.0,600.0,0.7,0.5,800.0,10.0,,,,
,,,,B,,,,25.0,343.4590689245398,284.13451895188405,446.1756799967409,458.6903995208336,0.5069860219955444,402.7836188971956,383.6326463907524,450.103746730568,0.5108099579811096,150.0,0.005,4.0,600.0,0.9,0.5,50.0,10.0,,,,
,,,,B,,,,26.0,604.9493959020158,589.7131899625929,645.7967900415085,658.3472999932227,0.4992038905620575,620.1856018414387,556.9152709494763,623.0466248115852,0.5026191473007202,150.0,0.012,5.0,1500.0,0.5,0.7,800.0,0.0,,,,
,,,,B,,,,27.0,452.73550394031577,408.29151236206894,514.8157550986409,527.3662650503552,0.5033477544784546,497.17949551856265,450.46137460182933,516.8609493673925,0.5069453716278076,150.0,0.008,3.0,600.0,0.5,0.7,800.0,10.0,,,,
,,,,B,,,,28.0,745.8521945733044,783.6913425861014,808.9116639149352,821.6709513610975,0.4958394169807434,708.0130465605072,654.2794589023848,719.5465454089223,0.49459561705589294,400.0,0.03,6.0,600.0,0.5,0.7,800.0,0.0,,,,
,,,,B,,,,29.0,256.55066959900387,194.45563748129447,381.72904999752564,394.24376952161833,0.5084421634674072,318.64570171671323,318.89604122660177,385.390983424494,0.5128474235534668,150.0,0.005,3.0,600.0,0.9,0.3,200.0,0.0,,,,
,,,,B,,,,30.0,670.6129007388262,674.7333507714393,697.4065866680589,710.0465726888161,0.4955059885978699,666.492450706213,600.8736967929251,666.7487506806125,0.4991700053215027,600.0,0.005,4.0,4000.0,0.9,0.3,10.0,0.0,,,,
,,,,B,,,,31.0,746.5287388754239,768.337249137574,804.825590095104,817.5848775412665,0.49719229340553284,724.7202286132737,675.9874706883884,741.4095292724743,0.49349668622016907,900.0,0.02,4.0,600.0,0.7,0.7,200.0,0.0,,,,
,,,,B,,,,32.0,737.2465177451438,771.4510163404187,781.2695236505518,793.90950967132,0.49360546469688416,703.0420191498688,640.8624532652896,706.4573653204786,0.497038871049881,150.0,0.03,6.0,1500.0,0.9,0.3,200.0,10.0,,,,
,,,,B,,,,33.0,747.1582562571965,762.4020032240941,782.7607914680179,795.4186727025858,0.49519720673561096,731.914509290299,675.2543335522887,740.7956014268025,0.4952525794506073,600.0,0.008,4.0,200.0,0.7,0.7,10.0,1.0,,,,
